student_id,course_id,mark,semester_number,predicted_mark,student_count_above_zero,course_count_above_zero,difference
24758,PHCC 022,86.0,2,78.62818398165184,37,1344,7.371816018348156
5587,PHAC 855,41.0,2,48.37148711330849,45,1303,7.37148711330849
7098,PHCC 927,73.0,2,65.63218819364104,47,953,7.367811806358958
8276,PHCC 022,60.0,1,67.36683149118738,37,1344,7.366831491187384
9104,PHR 015,75.0,2,67.63325917731126,24,1165,7.36674082268874
28303,PHR 512,86.0,1,78.63347179148842,22,1596,7.366528208511582
19305,PHPT 833,74.0,1,81.36630205309805,47,1161,7.366302053098053
28483,PHR 512,82.0,1,74.63507413972641,29,1596,7.364925860273587
33463,PHAC 358,71.0,1,63.635148332916664,12,1723,7.364851667083336
34169,PHAC 359,71.0,1,78.36310428036512,13,2088,7.363104280365121
28303,PHAC 556,89.0,1,81.63740353873824,22,1597,7.362596461261759
28405,PHAC 855,88.0,2,80.63943891176052,26,1303,7.3605610882394785
29581,PHR 015,66.0,2,73.36056102828739,26,1165,7.360561028287393
8694,PHBM 848,64.0,2,56.639683573629384,49,1165,7.360316426370616
10816,PHE7,90.0,2,97.35786546861931,53,1760,7.357865468619309
20393,PHPP 839,75.0,1,82.35534775028285,53,1067,7.355347750282846
15709,PHCC 924,88.0,2,80.64469892881651,48,1110,7.35530107118349
7654,PHCC023,48.0,1,55.35428961535882,61,943,7.354289615358823
20391,PHPT 030,73.0,2,65.6486955173897,45,950,7.351304482610303
29705,PHAC 556,64.0,1,71.35111445827714,25,1597,7.351114458277138
34251,PHAC 556,78.0,2,85.35025440826298,15,1597,7.350254408262984
9949,PHPT 030,82.0,2,74.65273992908885,54,950,7.3472600709111475
28176,PHAC 855,61.0,2,53.652852707015995,29,1303,7.347147292984005
24767,PHE5,60.0,2,52.65299926877877,38,792,7.347000731221229
33873,PHR 319,94.0,1,86.65366368034657,15,1781,7.346336319653432
28775,PHPP 741,82.0,1,89.34341065241796,42,1241,7.343410652417958
7694,PHCC023,75.0,1,67.6594758520817,54,943,7.340524147918302
34609,PHPT 436,88.0,1,80.6616363840804,13,1972,7.338363615919604
28245,PHAC 358,79.0,2,86.33655353187933,25,1723,7.336553531879332
34246,PHE6,83.0,1,75.66381222321372,13,341,7.336187776786275
9141,PHCC023,78.0,1,70.66432721546344,55,943,7.3356727845365555
28024,PHR 015,77.0,1,84.3320914290462,32,1165,7.332091429046201
